doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,08.05.24 09:30,Download the Nike App and get access to the exclusive collection of the National Team starting on 06/21/2024!,https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/images/creative_generic_nike.png,Promotional graphic for a Brazil 1998 reedition soccer jersey by Nike. The image displays two photos of a model wearing the yellow team jersey with 'Ronaldo' and the number '9' on the back. Text encourages downloading the Nike App to access this exclusive collection starting June 21st.,294,49,13,Nike,Nike,Spotlighting athlete* and 👟 stories,"https://img.etimg.com/thumb/msid-59738997,width-640,resizemode-4,imgsize-21421/nike.jpg",10149872,0,1,https://apps.apple.com/app/id6447586622,A_2,
2,08.05.24 09:30,"Bring the whole family along and experience the comfort of business class on your next trip. Book now and save!* <br><br>*Offer valid through August 15, 2024. Available on selected flights when booked through jetblue.com. Limited seats available. Travel period from September 01, 2024, to January 31, 2025.",https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/images/creative_generic_jetblue.png,"Advertising image for JetBlue featuring a beach scene with a clear blue sky and ocean. An adult and a child sit on the sand looking out at the sea, with text overlay stating 'jetBlue' and 'Less screen time. yes' encouraging a break from digital devices.",336,52,9,JetBlue,JetBlue,"Hi, nice to tweet you! ✈️ Customer concerns? Visit http://jetblue.com",https://pbs.twimg.com/profile_images/1793988854380163072/cLSLb-8a_400x400.jpg,1849872,0,1,https://www.jetblue.com/,A_2,
3,08.05.24 09:30,"Thousands have been displaced by the floods in Brazil and want to go home. Today, you can make a difference for the those in need and help them find safety. Donate now. <br><br>#HelpBrazil #BrazilFloodRelief",https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/images/creative_focal_control.png,Crowded indoor shelter with people on scattered mattresses after a flood in Brazil.,336,52,9,UNICEF,UNICEF,"UNICEF works in over 190 countries and territories to protect children's rights. We won't stop, #ForEveryChild.",https://fa.oregonstate.edu/sites/fa.oregonstate.edu/files/223-2237995_unicef-logo-unicef-logo-png-high-resolution-unicef_1_.webp,9243872,0,1,https://help.unicef.org/brazil-floods/citi-foundation?language=en,A_2,
4,08.05.24 09:30,"Thousands have been displaced by the floods in Brazil and want to go home. Today, you can make a difference for the those in need and help them find safety. Donate now. <br><br>#HelpBrazil #BrazilFloodRelief",https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/images/creative_focal_control.png,Crowded indoor shelter with people on scattered mattresses after a flood in Brazil.,336,52,9,UNICEF,UNICEF,"UNICEF works in over 190 countries and territories to protect children's rights. We won't stop, #ForEveryChild.",https://fa.oregonstate.edu/sites/fa.oregonstate.edu/files/223-2237995_unicef-logo-unicef-logo-png-high-resolution-unicef_1_.webp,9243872,0,1,https://help.unicef.org/brazil-floods/citi-foundation?language=en,A_2,
5,22.06.24 07:03,I love Carnaval! The spirit of celebration lives within hearts every brazilian 💃🏽🕺🏽 can’t wait see streets filled joy again soon ❤️🎉,https://images.unsplash.com/photo-1496767000195-3841ae3f97f4?q=80&w=3270&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Two women in colorful carnival costumes, one kissing the other's cheek, take a selfie at a festive event.",23,7,10,Leo Lozano,lozano1931,Tech geek and gadget reviewer. Bringing you the latest in tech news and reviews. Stay updated with cutting-edge technology.,https://images.unsplash.com/photo-1633332755192-727a05c4013d?q=80&w=3880&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,179,0,0,,A_2,1
6,22.06.24 07:06,let's keep pushing forward advocating stronger climate action policies to ensure that future generations don’t face similar devastations caused by unchecked global warming today,"","",9,1,23,welmar du plessis,Welmardup,Adventurer and nature lover. Sharing my travels and outdoor experiences. Expect stunning landscapes and travel tips.,https://images.unsplash.com/photo-1606115690424-49770e55a2bc?q=80&w=3648&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,235,0,0,,A_2,2
7,22.06.24 07:09,can't wait for Copa América! hoping our team proves critics wrong by showcasing their talent & passion on an international stage 🌎⚽,"","",3,8,11,aurelie rabiot,zouzoum44,"Fashion enthusiast and lifestyle blogger. Follow for style tips, beauty hacks, and daily inspiration.",https://images.unsplash.com/photo-1611432579699-484f7990b127?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,641,0,0,,A_2,3
8,22.06.24 07:12,#Raphinha counters Ronaldinho’s critique by emphasizing unity & commitment within team! Can they turn this controversy into motivation?,"","",3,2,6,kevin,ihearthalladay,"Sports fanatic and baseball aficionado. Sharing game highlights, player stats, and sports commentary.",https://images.unsplash.com/photo-1595211877493-41a4e5f236b3?q=80&w=3830&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,558,0,0,,A_2,4
9,22.06.24 07:15,"Football controversies aside, Brazilians' love for the sport remains unshaken as they rally behind their team for Copa América glory.","","",12,1,6,max saber,spencylund,Fitness coach and wellness advocate. Motivating you to achieve your health goals with tips and workout routines.,https://images.unsplash.com/photo-1629425733761-caae3b5f2e50?q=80&w=2968&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,180,0,0,,A_2,5
10,22.06.24 07:18,The Institute of Economics and Peace warns of potential billion-plus climate refugees mid-century unless immediate actions are taken to address pressing environmental issues,"","",28,6,13,Dierenthuis,dierenthuis,"Animal lover and pet care expert. Tips on pet health, training, and adorable pet moments.",https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=3744&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,315,0,0,,A_2,7
