StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,uncued_recall,cued_recall,otf,issues,issues_2_TEXT,PROLIFIC_PID,useragent,city,state,postalcode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your Prolific ID?
You may notice that this response field auto-fills with an ID. This should be your personal Prolific ID.

Feel free to adjust it in case you spot an error.",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be. - Selected Choice,Choose one or more races that you consider yourself to be. - Other - Text,"Please list any brands from which you recall having seen an ad in the social media feed you have just browsed.

(If you recall multiple ads, please comma-separate your answer, i.e., ""brand x, organization y, ..."". Type ""n/a"" if you don't recall any ads.)","Please select the brands in the list below from which you recall seeing an ad (i.e., sponsored post) in the feed.","Please use the box below to share your thoughts about the social media feed you just browsed (e.g.,  any aspects you particularly liked or disliked).","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Selected Choice","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Yes: - Text",PROLIFIC_PID,useragent,city,state,postalcode
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_6_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_2_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""useragent""}","{""ImportId"":""city""}","{""ImportId"":""state""}","{""ImportId"":""postalcode""}"
2024-10-12 00:01:37,2024-10-12 00:02:57,IP Address,24.191.73.186,100,80,True,2024-10-12 00:02:58,R_12nY2fANh1qZhDB,,,,,40.325,-74.2682,anonymous,EN,5f850c99d40bfe1f29078e69,23,Male,,Asian,,apple. samsung,"Apple,Samsung",I didn't like how saturated it was with repetitive content. It had multiple post from 9gag and Samsung,Yes:,,5f850c99d40bfe1f29078e69,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:131.0) Gecko/20100101 Firefox/131.0,Manalapan,NJ,07726
2024-10-12 00:01:42,2024-10-12 00:03:24,IP Address,35.146.250.160,100,102,True,2024-10-12 00:03:25,R_1q9JWlf5ABKpy6m,,,,,33.1909,-96.6198,anonymous,EN,67094d6215b6d0fe3e8c3e39,23,Male,,White or Caucasian,,"nintendo ","Apple,Nintendo,Amazon,Sony Playstation",i think it was pretty good and had a mixture of memes and up to date purchasable items!,No,,67094d6215b6d0fe3e8c3e39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",McKinney,TX,75070
2024-10-12 00:04:50,2024-10-12 00:06:18,IP Address,172.56.209.108,100,88,True,2024-10-12 00:06:19,R_76VWCwx1pXn4uuB,,,,,36.115,-115.2165,anonymous,EN,67086e63d413c8d576ee41d8,21,Male,,White or Caucasian,,"Nintendo ",Sonos,I liked it a lot. The memes were decently funny and most of them were actually accurate. I didn't pay much attention to the ads due to the fact the memes were too good.,Yes:,,67086e63d413c8d576ee41d8,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",Las Vegas,NV,89110
2024-10-12 00:07:56,2024-10-12 00:09:28,IP Address,50.89.58.211,100,91,True,2024-10-12 00:09:28,R_1FPSnpgS9FuTsti,,,,,29.4843,-81.2042,anonymous,EN,63eac31811a6da58d4f32d76,21,Non-binary / third gender,,White or Caucasian,,n/a,I do not recall any sponsored posts,"I mentally skip over the ads so I'm sorry for not paying attention to them. I tried to make a tweet because it would've been funny. The memes are very stale, boring, and outdated. ",No,,63eac31811a6da58d4f32d76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Palm Coast,FL,32164
2024-10-12 00:11:30,2024-10-12 00:13:22,IP Address,184.182.78.183,100,112,True,2024-10-12 00:13:23,R_5aQWYDb29e5ghEN,,,,,36.3195,-115.3414,anonymous,EN,670996a8a22c95fa31ef4fb1,26,Female,,White or Caucasian,,n/a,Samsung,"It seemed like a normal social media feed without the things I typically follow or like. Some basic meems that some were funny, but most were pretty family-friendly, where I typically like dark humor. ",No,,670996a8a22c95fa31ef4fb1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",Las Vegas,NV,89166
2024-10-12 00:12:08,2024-10-12 00:14:10,IP Address,184.177.145.157,100,121,True,2024-10-12 00:14:10,R_7Qzvd9WldaW1Wvc,,,,,43.673,-114.5007,anonymous,EN,67099ba95a7bf5998a648964,21,Male,,"White or Caucasian,Other",Latino,"Apple, Bose","Bose,Apple,Nintendo,Oura","The memes were funny and engaging although a little bit generic and outdated. The UI was very well made and was functionally identical to Twitter in a good way. ",No,,67099ba95a7bf5998a648964,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 OPR/113.0.0.0",Ketchum,ID,83340
2024-10-12 00:19:44,2024-10-12 00:20:49,IP Address,64.189.16.169,100,64,True,2024-10-12 00:20:49,R_3C7lUee1srhscBr,,,,,35.3024,-80.7204,anonymous,EN,6660d30221253395b7f16487,18,Male,,"White or Caucasian,Native Hawaiian or Other Pacific Islander",,"Bose, Samsung, Apple","Bose,Apple,Nintendo,Samsung","Too many corny jokes, ads were fairly well tailored.",No,,6660d30221253395b7f16487,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Charlotte,NC,28223
2024-10-12 00:18:13,2024-10-12 00:21:36,IP Address,172.85.99.89,100,203,True,2024-10-12 00:21:37,R_7yp7DxkomgMq7Fm,,,,,37.751,-97.822,anonymous,EN,670702f2d0689bac081e5d5f,20,Female,,Black or African American,,Coca-Cola,"Bose,Apple,Microsoft,Spotify,T-Mobile,Amazon","Common aspects people like include engaging visuals, relatable content, and interactive elements like polls or questions. Dislikes often include overly promotional posts or irrelevant ads. If you share what you saw, I can help you reflect on it!",Yes:,"clarity of instructions, the relevance of questions, or the ease of navigation in a survey. ",670702f2d0689bac081e5d5f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",,,
2024-10-12 00:19:39,2024-10-12 00:21:43,IP Address,68.45.64.138,100,123,True,2024-10-12 00:21:43,R_6eQ1rI6YJrKll01,,,,,39.1215,-86.5784,anonymous,EN,670838416b47219053fcaabe,23,Female,,White or Caucasian,,"Bose headphones, some sleep watch","Bose,Nintendo,Fitbit","I think I liked most of the posts, most of them were funny to me",No,,670838416b47219053fcaabe,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Bloomington,IN,47404
2024-10-12 00:19:40,2024-10-12 00:23:04,IP Address,172.7.140.250,100,203,True,2024-10-12 00:23:05,R_1wKyaoke1MPftxD,,,,,33.6205,-117.9321,anonymous,EN,66589caba43d244f0f3739bf,30,Male,,White or Caucasian,,"Office, snoop dog, memes",Nintendo,It reminded me of my Twitter feed and it was nice because it wasn’t too serious,Yes:,,66589caba43d244f0f3739bf,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Newport Beach,CA,92663
2024-10-12 00:27:08,2024-10-12 00:28:15,IP Address,99.118.108.159,100,67,True,2024-10-12 00:28:16,R_3oBEhV368cCDiM1,,,,,40.1016,-88.2822,anonymous,EN,6708578e2abdc87e8c38b78e,30,Female,,White or Caucasian,,"Bose, Nintendo","Bose,Nintendo","Some funny memes but nothing incredible or worth sharing with friends, either reposting or direct messaging. ",No,,6708578e2abdc87e8c38b78e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Champaign,IL,61821
2024-10-12 00:27:43,2024-10-12 00:28:46,IP Address,69.88.38.25,100,63,True,2024-10-12 00:28:47,R_5kHZWxcpH1ffLRy,,,,,39.6343,-77.7337,anonymous,EN,66c2c135a40dec399c0c8f58,30,Female,,Black or African American,,N/a,Nintendo,"It was boring and I was uninterested and unimpressed ",No,,66c2c135a40dec399c0c8f58,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1",Hagerstown,MD,21740
2024-10-12 00:27:53,2024-10-12 00:29:02,IP Address,70.120.226.236,100,69,True,2024-10-12 00:29:02,R_60quQPFmXJrn9BP,,,,,31.7775,-106.4903,anonymous,EN,6644ccaf5b872d17ba667944,29,Female,,White or Caucasian,,"Nintendo ",Nintendo,"The website looked great, everything ran well ",No,,6644ccaf5b872d17ba667944,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",El Paso,TX,79902
2024-10-12 00:29:19,2024-10-12 00:30:57,IP Address,97.118.224.238,100,97,True,2024-10-12 00:30:57,R_7t4R38BNAmIkVUZ,,,,,39.7628,-105.0263,anonymous,EN,67099bcb59199185f719e426,23,Female,,"White or Caucasian,American Indian/Native American or Alaska Native,Asian",,"Apple, Nintendo, Bose","Bose,Apple,Nintendo,Whoop","I didn't think the posts were particularly funny but liked that it was in an easy to scroll format. I was able to browse essentially the same way I browse my own twitter feed making it feel more natural. ",No,,67099bcb59199185f719e426,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",Denver,CO,80211
2024-10-12 00:33:32,2024-10-12 00:34:54,IP Address,173.233.6.141,100,81,True,2024-10-12 00:34:54,R_7MQJMbx968J6CDu,,,,,40.7003,-80.0351,anonymous,EN,648b61896bde60c2fef683a1,29,Female,,White or Caucasian,,"Apple, Samsung, Apple, Whoop? ","Apple,Nintendo,Whoop","I enjoyed scrolling thru the social media feed. The memes were amusing and funny and I was entertained. ",No,,648b61896bde60c2fef683a1,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Gibsonia,PA,15044
2024-10-12 00:34:02,2024-10-12 00:35:03,IP Address,47.33.103.17,100,61,True,2024-10-12 00:35:03,R_19ohBqvNWuPVIM2,,,,,34.0706,-117.9393,anonymous,EN,66bfe5ecc23f1e2109f144d6,27,Male,,Asian,,"Nintendo of America, Bose, Apple","Bose,Apple,Nintendo","Pretty good memes and a lot of tech ads. ",No,,66bfe5ecc23f1e2109f144d6,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0,West Covina,CA,91790
2024-10-12 00:36:08,2024-10-12 00:36:58,IP Address,168.92.232.85,100,50,True,2024-10-12 00:36:59,R_57dl16WzFNrnu6d,,,,,33.4306,-111.9256,anonymous,EN,655fa1d61a31921e732c6447,20,Female,,Asian,,nintendo,"Nintendo,Beats by Dre",I'm not a huge fan of memes on my social media feed,No,,655fa1d61a31921e732c6447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Tempe,AZ,85281
2024-10-12 00:37:30,2024-10-12 00:38:23,IP Address,35.151.41.53,100,52,True,2024-10-12 00:38:23,R_51UnUY2r9sMHOVj,,,,,35.2612,-120.655,anonymous,EN,65d51baa9930b7a969cca0f7,21,Female,,Asian,,n/a,"Whoop,Sony Playstation,Sonos,Logitech",I thought the memes were funny and relatable to me,No,,65d51baa9930b7a969cca0f7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",San Luis Obispo,CA,93401
2024-10-12 00:37:47,2024-10-12 00:39:51,IP Address,108.147.93.41,100,124,True,2024-10-12 00:39:51,R_5gfWwugVj70Z5Jv,,,,,37.6736,-122.0944,anonymous,EN,664662d0e586193a0ca4267e,19,Male,,Asian,,"Apple, Bose, Samsung, Nintendo","Bose,Apple,Nintendo,Samsung,JBL","Most of the ads are for products I already know about, so I’m indifferent to them and just scroll past.",No,,664662d0e586193a0ca4267e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1",Santa Clara,CA,95054
2024-10-12 00:37:46,2024-10-12 00:40:08,IP Address,75.143.121.219,100,141,True,2024-10-12 00:40:08,R_1dGuLSjjUcigz3b,,,,,33.1939,-86.7916,anonymous,EN,627ebc31883c7dd7c2220c7e,20,Female,,White or Caucasian,,"headphones, photoshop, nintendo switch","Apple,Nintendo,T-Mobile,Beats by Dre",It was a little funny but there was nothing memorable about it. There was nothing in particular that I liked or disliked.,No,,627ebc31883c7dd7c2220c7e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Alabaster,AL,35007
